name,age_group,population
Cameroon,50-64,1946123
Cameroon,65+,800335
Canada,0-4,2220875
Canada,5-19,6975641
Canada,20-49,16420755
Canada,50-64,8386170
Canada,65+,5535000
Canada_Alberta,0-4,286915
Canada_Alberta,5-19,796940
Canada_Alberta,20-49,1942847
Canada_Alberta,50-64,823164
Canada_Alberta,65+,455418
Canada_British_Columbia,0-4,256717
Canada_British_Columbia,5-19,863151
Canada_British_Columbia,20-49,2135974
Canada_British_Columbia,50-64,1140728
Canada_British_Columbia,65+,800188
Canada_Manitoba,0-4,90196
Canada_Manitoba,5-19,277079
Canada_Manitoba,20-49,578277
Canada_Manitoba,50-64,289752
Canada_Manitoba,65+,191712
Canada_New_Brunswick,0-4,42678
Canada_New_Brunswick,5-19,148116
Canada_New_Brunswick,20-49,353620
Canada_New_Brunswick,50-64,208077
Canada_New_Brunswick,65+,134660
Canada_Newfoundland_and_Labrador,0-4,29048
Canada_Newfoundland_and_Labrador,5-19,94471
Canada_Newfoundland_and_Labrador,20-49,242453
Canada_Newfoundland_and_Labrador,50-64,148838
Canada_Newfoundland_and_Labrador,65+,92856
Canada_Northwest_Territories,0-4,4221
Canada_Northwest_Territories,5-19,10569
Canada_Northwest_Territories,20-49,22476
Canada_Northwest_Territories,50-64,8477
Canada_Northwest_Territories,65+,3182
Canada_Nova_Scotia,0-4,51623
Canada_Nova_Scotia,5-19,177547
Canada_Nova_Scotia,20-49,424842
Canada_Nova_Scotia,50-64,258025
Canada_Nova_Scotia,65+,176549
Canada_Nunavut,0-4,4287
Canada_Nunavut,5-19,10643
Canada_Nunavut,20-49,16036
Canada_Nunavut,50-64,4844
Canada_Nunavut,65+,1826
Canada_Ontario,0-4,836734
Canada_Ontario,5-19,2775659
Canada_Ontario,20-49,6321518
Canada_Ontario,50-64,3133403
Canada_Ontario,65+,2111608
Canada_Prince_Edward_Island,0-4,8793
Canada_Prince_Edward_Island,5-19,30004
Canada_Prince_Edward_Island,20-49,63261
Canada_Prince_Edward_Island,50-64,38185
Canada_Prince_Edward_Island,65+,25302
Canada_Quebec,0-4,530164
Canada_Quebec,5-19,1549305
Canada_Quebec,20-49,3814424
Canada_Quebec,50-64,2074531
