name,age_group,population
Japan_Ibaraki-ken,5-19,398631
Japan_Ibaraki-ken,20-49,1046539
Japan_Ibaraki-ken,50-64,584066
Japan_Ibaraki-ken,65+,739892
Japan_Ishikawa-ken,0-4,45564
Japan_Ishikawa-ken,5-19,161258
Japan_Ishikawa-ken,20-49,411093
Japan_Ishikawa-ken,50-64,214751
Japan_Ishikawa-ken,65+,300884
Japan_Iwate-ken,0-4,45193
Japan_Iwate-ken,5-19,169920
Japan_Iwate-ken,20-49,420961
Japan_Iwate-ken,50-64,278534
Japan_Iwate-ken,65+,374933
Japan_Kagawa-ken,0-4,37525
Japan_Kagawa-ken,5-19,131486
Japan_Kagawa-ken,20-49,331140
Japan_Kagawa-ken,50-64,188125
Japan_Kagawa-ken,65+,276688
Japan_Kagoshima-ken,0-4,73296
Japan_Kagoshima-ken,5-19,230803
Japan_Kagoshima-ken,20-49,526052
Japan_Kagoshima-ken,50-64,361485
Japan_Kagoshima-ken,65+,461240
Japan_Kanagawa-ken,0-4,354230
Japan_Kanagawa-ken,5-19,1183508
Japan_Kanagawa-ken,20-49,3610482
Japan_Kanagawa-ken,50-64,1606490
Japan_Kanagawa-ken,65+,2013634
Japan_Kochi-ken,0-4,26557
Japan_Kochi-ken,5-19,94621
Japan_Kochi-ken,20-49,237307
Japan_Kochi-ken,50-64,151384
Japan_Kochi-ken,65+,231284
Japan_Kumamoto-ken,0-4,78018
Japan_Kumamoto-ken,5-19,250026
Japan_Kumamoto-ken,20-49,589354
Japan_Kumamoto-ken,50-64,364089
Japan_Kumamoto-ken,65+,478930
Japan_Kyoto-fu,0-4,96056
Japan_Kyoto-fu,5-19,346383
Japan_Kyoto-fu,20-49,969534
Japan_Kyoto-fu,50-64,460376
Japan_Kyoto-fu,65+,682552
Japan_Mie-ken,0-4,71024
Japan_Mie-ken,5-19,252057
Japan_Mie-ken,20-49,643044
Japan_Mie-ken,50-64,349638
Japan_Mie-ken,65+,481474
Japan_Miyagi-ken,0-4,86953
Japan_Miyagi-ken,5-19,310729
Japan_Miyagi-ken,20-49,849165
Japan_Miyagi-ken,50-64,465202
Japan_Miyagi-ken,65+,562840
Japan_Miyazaki-ken,0-4,48555
Japan_Miyazaki-ken,5-19,157314
Japan_Miyazaki-ken,20-49,353571
Japan_Miyazaki-ken,50-64,233130
Japan_Miyazaki-ken,65+,307067
Japan_Nagano-ken,0-4,79767
Japan_Nagano-ken,5-19,291657
Japan_Nagano-ken,20-49,703609
Japan_Nagano-ken,50-64,407737
Japan_Nagano-ken,65+,603188
Japan_Nagasaki-ken,0-4,57340
Japan_Nagasaki-ken,5-19,192993
Japan_Nagasaki-ken,20-49,442959
Japan_Nagasaki-ken,50-64,300096
Japan_Nagasaki-ken,65+,389166
Japan_Nara-ken,0-4,50816
Japan_Nara-ken,5-19,189762
Japan_Nara-ken,20-49,474146
Japan_Nara-ken,50-64,265199
Japan_Nara-ken,65+,376474
Japan_Niigata-ken,0-4,83499
Japan_Niigata-ken,5-19,304664
Japan_Niigata-ken,20-49,779954
Japan_Niigata-ken,50-64,475898
Japan_Niigata-ken,65+,657038
Japan_Oita-ken,0-4,47144
Japan_Oita-ken,5-19,157593
Japan_Oita-ken,20-49,385989
Japan_Oita-ken,50-64,233915
Japan_Oita-ken,65+,334096
Japan_Okayama-ken,0-4,77456
Japan_Okayama-ken,5-19,266114
Japan_Okayama-ken,20-49,672788
Japan_Okayama-ken,50-64,350247
Japan_Okayama-ken,65+,517828
Japan_Okinawa-ken,0-4,79892
Japan_Okinawa-ken,5-19,237050
Japan_Okinawa-ken,20-49,516556
Japan_Okinawa-ken,50-64,267244
Japan_Okinawa-ken,65+,248870
Japan_Osaka-fu,0-4,336519
Japan_Osaka-fu,5-19,1173618
Japan_Osaka-fu,20-49,3365667
Japan_Osaka-fu,50-64,1539488
Japan_Osaka-fu,65+,2171868
Japan_Saga-ken,0-4,35737
Japan_Saga-ken,5-19,124102
Japan_Saga-ken,20-49,276859
Japan_Saga-ken,50-64,172399
Japan_Saga-ken,65+,214413
Japan_Saitama-ken,0-4,274773
Japan_Saitama-ken,5-19,955719
Japan_Saitama-ken,20-49,2765207
Japan_Saitama-ken,50-64,1308759
Japan_Saitama-ken,65+,1666604
Japan_Shiga-ken,0-4,62042
Japan_Shiga-ken,5-19,210030
Japan_Shiga-ken,20-49,523149
Japan_Shiga-ken,50-64,252840
Japan_Shiga-ken,65+,318020
Japan_Shimane-ken,0-4,27310
Japan_Shimane-ken,5-19,92146
Japan_Shimane-ken,20-49,217062
Japan_Shimane-ken,50-64,141092
Japan_Shimane-ken,65+,216068
Japan_Shizuoka-ken,0-4,144079
Japan_Shizuoka-ken,5-19,500508
Japan_Shizuoka-ken,20-49,1304288
Japan_Shizuoka-ken,50-64,721121
Japan_Shizuoka-ken,65+,977798
Japan_Tochigi-ken,0-4,75367
Japan_Tochigi-ken,5-19,267476
Japan_Tochigi-ken,20-49,720063
Japan_Tochigi-ken,50-64,396876
Japan_Tochigi-ken,65+,484719
Japan_Tokushima-ken,0-4,27391
Japan_Tokushima-ken,5-19,98183
Japan_Tokushima-ken,20-49,253776
Japan_Tokushima-ken,50-64,158896
Japan_Tokushima-ken,65+,223251
Japan_Tokyo-to,0-4,503385
Japan_Tokyo-to,5-19,1479914
Japan_Tokyo-to,20-49,5700766
Japan_Tokyo-to,50-64,2261182
Japan_Tokyo-to,65+,2807138
Japan_Tottori-ken,0-4,23076
Japan_Tottori-ken,5-19,78151
Japan_Tottori-ken,20-49,189034
Japan_Tottori-ken,50-64,118199
Japan_Tottori-ken,65+,161194
Japan_Toyama-ken,0-4,38084
Japan_Toyama-ken,5-19,141603
Japan_Toyama-ken,20-49,366645
Japan_Toyama-ken,50-64,203507
Japan_Toyama-ken,65+,309103
Japan_Wakayama-ken,0-4,36094
Japan_Wakayama-ken,5-19,129910
Japan_Wakayama-ken,20-49,319371
Japan_Wakayama-ken,50-64,196611
Japan_Wakayama-ken,65+,287821
Japan_Yamagata-ken,0-4,40321
Japan_Yamagata-ken,5-19,150271
Japan_Yamagata-ken,20-49,363165
Japan_Yamagata-ken,50-64,244725
Japan_Yamagata-ken,65+,334102
Japan_Yamaguchi-ken,0-4,53352
Japan_Yamaguchi-ken,5-19,186179
Japan_Yamaguchi-ken,20-49,459739
Japan_Yamaguchi-ken,50-64,277408
Japan_Yamaguchi-ken,65+,429126
Japan_Yamanashi-ken,0-4,30411
Japan_Yamanashi-ken,5-19,117745
Japan_Yamanashi-ken,20-49,287934
Japan_Yamanashi-ken,50-64,170381
Japan_Yamanashi-ken,65+,229631
Jordan,0-4,1161831
Jordan,5-19,3525483
Jordan,20-49,5045130
Jordan,50-64,1289193
Jordan,65+,509306
Kazakhstan,0-4,2123243
Kazakhstan,5-19,5461423
Kazakhstan,20-49,8145013
Kazakhstan,50-64,3000060
Kazakhstan,65+,1734467
Kenya,0-4,7066801
Kenya,5-19,20106945
Kenya,20-49,22824354
Kenya,50-64,4243230
Kenya,65+,1643164
Kiribati,0-4,16296
Kiribati,5-19,42316
Kiribati,20-49,55297
Kiribati,50-64,14043
Kiribati,65+,5573
Kuwait,0-4,262511
Kuwait,5-19,915165
Kuwait,20-49,2845811
Kuwait,50-64,710501
Kuwait,65+,150148
Kyrgyzstan,0-4,777935
Kyrgyzstan,5-19,2138460
Kyrgyzstan,20-49,2922791
Kyrgyzstan,50-64,895808
Kyrgyzstan,65+,395600
Laos,0-4,793759
Laos,5-19,2285234
Laos,20-49,3478905
Laos,50-64,804986
Laos,65+,354789
Latvia,0-4,84795
Latvia,5-19,308845
Latvia,20-49,691741
Latvia,50-64,389704
Latvia,65+,404607
Lebanon,0-4,451111
Lebanon,5-19,1599673
Lebanon,20-49,2261863
Lebanon,50-64,895442
Lebanon,65+,577700
Lesotho,0-4,264625
Lesotho,5-19,781944
Lesotho,20-49,1028038
Lesotho,50-64,160500
Lesotho,65+,89341
Liberia,0-4,777230
Liberia,5-19,2063312
Liberia,20-49,2102610
Liberia,50-64,427499
Liberia,65+,182739
Libya,0-4,637237
Libya,5-19,2068178
Libya,20-49,3283616
Libya,50-64,990065
Libya,65+,363443
Lithuania,0-4,125394
Lithuania,5-19,439656
Lithuania,20-49,1122473
Lithuania,50-64,607763
Lithuania,65+,571526
Luxembourg,0-4,34308
Luxembourg,5-19,106018
Luxembourg,20-49,292579
Luxembourg,50-64,133813
Luxembourg,65+,102486
Macao,0-4,28493
Macao,5-19,101069
Macao,20-49,340786
Macao,50-64,148846
Macao,65+,99672
Madagascar,0-4,4624262
Madagascar,5-19,11192587
Madagascar,20-49,12284045
Madagascar,50-64,2413228
Madagascar,65+,1064267
Malawi,0-4,3104388
Malawi,5-19,8196605
Malawi,20-49,8317635
Malawi,50-64,1204493
Malawi,65+,553010
Malaysia,0-4,2234196
Malaysia,5-19,8377422
Malaysia,20-49,17330124
Malaysia,50-64,4719481
Malaysia,65+,2683018
Maldives,0-4,30150
Maldives,5-19,105664
Maldives,20-49,309955
Maldives,50-64,57438
Maldives,65+,23637
Mali,0-4,4200164
Mali,5-19,9701250
Mali,20-49,8311056
Mali,50-64,1332075
Mali,65+,577800
Malta,0-4,22101
Malta,5-19,70601
Malta,20-49,243441
Malta,50-64,92674
Malta,65+,107576
Mauritania,0-4,807260
Mauritania,5-19,1929251
Mauritania,20-49,1831229
Mauritania,50-64,364656
Mauritania,65+,164123
Mauritius,0-4,60306
Mauritius,5-19,217544
Mauritius,20-49,582110
Mauritius,50-64,244131
Mauritius,65+,168424
Mexico,0-4,10270819
Mexico,5-19,33088095
Mexico,20-49,57843807
Mexico,50-64,18532119
Mexico,65+,10573555
Moldova,0-4,174214
Moldova,5-19,616948
Moldova,20-49,1201928
Moldova,50-64,575296
Moldova,65+,485030
Monaco,0-4,1807
Monaco,5-19,4916
Monaco,20-49,10592
Monaco,50-64,7404
Monaco,65+,14058
Mongolia,0-4,347471
Mongolia,5-19,1033503
Mongolia,20-49,1446104
Mongolia,50-64,454662
Mongolia,65+,172530
Montenegro,0-4,36940
Montenegro,5-19,118855
Montenegro,20-49,248470
Montenegro,50-64,122353
Montenegro,65+,112812
Morocco,0-4,3163599
Morocco,5-19,9791398
Morocco,20-49,16498917
Morocco,50-64,5421775
Morocco,65+,3025593
Mozambique,0-4,5728265
Mozambique,5-19,13200993
Mozambique,20-49,12280975
Mozambique,50-64,1976648
Mozambique,65+,942811
Myanmar,0-4,4416597
Myanmar,5-19,13252495
Myanmar,20-49,24683317
Myanmar,50-64,8059323
Myanmar,65+,3908749
Namibia,0-4,407407
Namibia,5-19,986236
Namibia,20-49,1244988
Namibia,50-64,251212
Namibia,65+,108309
Nepal,0-4,2785247
Nepal,5-19,8671983
Nepal,20-49,13007806
Nepal,50-64,3296730
Nepal,65+,1912184
Netherlands,0-4,889623
Netherlands,5-19,2865369
Netherlands,20-49,6946651
Netherlands,50-64,3773977
Netherlands,65+,3689933
New_Zealand,0-4,297861
New_Zealand,5-19,976616
New_Zealand,20-49,2068948
New_Zealand,50-64,968253
New_Zealand,65+,882635
Nicaragua,0-4,655838
Nicaragua,5-19,1984427
Nicaragua,20-49,3114240
Nicaragua,50-64,740928
Nicaragua,65+,374636
Niger,0-4,4722951
Niger,5-19,10729176
Niger,20-49,8847095
Niger,50-64,1606444
Niger,65+,686772
Nigeria,0-4,33658870
Nigeria,5-19,87009201
Nigeria,20-49,86167791
Nigeria,50-64,16438533
Nigeria,65+,6996745
North_Korea,0-4,1708259
North_Korea,5-19,4957347
North_Korea,20-49,10941989
North_Korea,50-64,5610436
North_Korea,65+,3242283
North_Macedonia,0-4,93209
North_Macedonia,5-19,319199
North_Macedonia,20-49,720053
North_Macedonia,50-64,370444
North_Macedonia,65+,324607
Norway,0-4,275245
Norway,5-19,964952
Norway,20-49,2209962
Norway,50-64,1064929
Norway,65+,1034691
Oman,0-4,423670
Oman,5-19,1152663
Oman,20-49,3042907
Oman,50-64,409328
Oman,65+,136575
Pakistan,0-4,31917719
Pakistan,5-19,86203444
Pakistan,20-49,98870460
Pakistan,50-64,21771957
Pakistan,65+,10572008
Palestine,0-4,718222
Palestine,5-19,1923284
Palestine,20-49,2171049
Palestine,50-64,427784
Palestine,65+,210087
Panama,0-4,356963
Panama,5-19,1133782
Panama,20-49,1920865
Panama,50-64,662839
Panama,65+,413038
Papua_New_Guinea,0-4,1230970
Papua_New_Guinea,5-19,3334873
Papua_New_Guinea,20-49,4530369
Papua_New_Guinea,50-64,1029977
Papua_New_Guinea,65+,356872
Paraguay,0-4,677819
Paraguay,5-19,1882890
Paraguay,20-49,3063028
Paraguay,50-64,818886
Paraguay,65+,444143
Peru,0-4,2688852
Peru,5-19,8429356
Peru,20-49,15174748
Peru,50-64,4641517
Peru,65+,3100416
Philippines,0-4,9363641
Philippines,5-19,34444228
Philippines,20-49,51637796
Philippines,50-64,13724127
Philippines,65+,6201255
Poland,0-4,1735386
Poland,5-19,6034046
Poland,20-49,16146949
Poland,50-64,7115457
Poland,65+,7679898
Portugal,0-4,425718
Portugal,5-19,1431923
Portugal,20-49,3785418
Portugal,50-64,2248969
Portugal,65+,2538623
Puerto_Rico,0-4,96979
Puerto_Rico,5-19,475764
Puerto_Rico,20-49,1203228
Puerto_Rico,50-64,674943
Puerto_Rico,65+,793118
Qatar,0-4,153639
Qatar,5-19,417818
Qatar,20-49,2083087
Qatar,50-64,307693
Qatar,65+,50215
Romania,0-4,941125
Romania,5-19,3162260
Romania,20-49,7307319
Romania,50-64,3864711
Romania,65+,3792421
Russia,0-4,8866984
Russia,5-19,22947632
Russia,20-49,65988244
Russia,50-64,29602705
Russia,65+,17799977
Russia_Adygea,0-4,137
Russia_Adygea,5-19,336
Russia_Adygea,20-49,872
Russia_Adygea,50-64,399
Russia_Adygea,65+,266
Russia_Altai_Krai,0-4,149960
Russia_Altai_Krai,5-19,369795
Russia_Altai_Krai,20-49,1090399
Russia_Altai_Krai,50-64,543931
Russia_Altai_Krai,65+,294747
Russia_Altai_Republic,0-4,19802
Russia_Altai_Republic,5-19,40901
Russia_Altai_Republic,20-49,96075
Russia_Altai_Republic,50-64,36480
Russia_Altai_Republic,65+,15349
Russia_Amur_Oblast,0-4,54606
Russia_Amur_Oblast,5-19,139038
Russia_Amur_Oblast,20-49,391915
Russia_Amur_Oblast,50-64,173157
Russia_Amur_Oblast,65+,81338
Russia_Arkhangelsk_Oblast,0-4,21287
Russia_Arkhangelsk_Oblast,5-19,52530
Russia_Arkhangelsk_Oblast,20-49,159885
Russia_Arkhangelsk_Oblast,50-64,77686
Russia_Arkhangelsk_Oblast,65+,41479
Russia_Astrakhan_Oblast,0-4,71672
Russia_Astrakhan_Oblast,5-19,171647
Russia_Astrakhan_Oblast,20-49,460658
Russia_Astrakhan_Oblast,50-64,205043
Russia_Astrakhan_Oblast,65+,113166
Russia_Bashkortostan,0-4,280762
Russia_Bashkortostan,5-19,708211
Russia_Bashkortostan,20-49,1862143
Russia_Bashkortostan,50-64,804421
Russia_Bashkortostan,65+,465713
Russia_Belgorod_Oblast,0-4,86215
Russia_Belgorod_Oblast,5-19,236812
Russia_Belgorod_Oblast,20-49,696896
Russia_Belgorod_Oblast,50-64,318175
Russia_Belgorod_Oblast,65+,212829
Russia_Bryansk_Oblast,0-4,73007
Russia_Bryansk_Oblast,5-19,196188
Russia_Bryansk_Oblast,20-49,574762
Russia_Bryansk_Oblast,50-64,269041
Russia_Bryansk_Oblast,65+,180558
Russia_Buryatia,0-4,82961
Russia_Buryatia,5-19,176159
Russia_Buryatia,20-49,457336
Russia_Buryatia,50-64,183633
Russia_Buryatia,65+,83590
Russia_Chechnya,0-4,161248
Russia_Chechnya,5-19,374615
Russia_Chechnya,20-49,538427
Russia_Chechnya,50-64,144943
Russia_Chechnya,65+,64984
Russia_Chelyabinsk_Oblast,0-4,217022
Russia_Chelyabinsk_Oblast,5-19,546672
Russia_Chelyabinsk_Oblast,20-49,1579014
Russia_Chelyabinsk_Oblast,50-64,739098
Russia_Chelyabinsk_Oblast,65+,436203
Russia_Chukotka,0-4,3442
Russia_Chukotka,5-19,9493
Russia_Chukotka,20-49,26248
Russia_Chukotka,50-64,10330
Russia_Chukotka,65+,1578
Russia_Chuvashia,0-4,79704
Russia_Chuvashia,5-19,210718
Russia_Chuvashia,20-49,574130
Russia_Chuvashia,50-64,252850
Russia_Chuvashia,65+,149234
Russia_Dagestan,0-4,263171
Russia_Dagestan,5-19,772977
Russia_Dagestan,20-49,1357218
Russia_Dagestan,50-64,356367
Russia_Dagestan,65+,195492
Russia_Ingushetia,0-4,46349
Russia_Ingushetia,5-19,120149
Russia_Ingushetia,20-49,181057
Russia_Ingushetia,50-64,46940
Russia_Ingushetia,65+,22955
Russia_Irkutsk_Oblast,0-4,175146
Russia_Irkutsk_Oblast,5-19,418115
Russia_Irkutsk_Oblast,20-49,1123878
Russia_Irkutsk_Oblast,50-64,491553
Russia_Irkutsk_Oblast,65+,249243
Russia_Ivanovo_Oblast,0-4,55075
Russia_Ivanovo_Oblast,5-19,149789
Russia_Ivanovo_Oblast,20-49,467905
Russia_Ivanovo_Oblast,50-64,238948
Russia_Ivanovo_Oblast,65+,162670
Russia_Jewish_Autonomous_Oblast,0-4,12211
Russia_Jewish_Autonomous_Oblast,5-19,28219
Russia_Jewish_Autonomous_Oblast,20-49,83968
Russia_Jewish_Autonomous_Oblast,50-64,36860
Russia_Jewish_Autonomous_Oblast,65+,17383
Russia_Kabardino_Balkaria,0-4,62964
Russia_Kabardino_Balkaria,5-19,177884
Russia_Kabardino_Balkaria,20-49,402583
Russia_Kabardino_Balkaria,50-64,143026
Russia_Kabardino_Balkaria,65+,83789
Russia_Kaliningrad_Oblast,0-4,55960
Russia_Kaliningrad_Oblast,5-19,147873
Russia_Kaliningrad_Oblast,20-49,434784
Russia_Kaliningrad_Oblast,50-64,203578
Russia_Kaliningrad_Oblast,65+,110969
Russia_Kalmykia,0-4,22646
Russia_Kalmykia,5-19,56669
Russia_Kalmykia,20-49,134766
Russia_Kalmykia,50-64,55221
Russia_Kalmykia,65+,23622
Russia_Kaluga_Oblast,0-4,54471
Russia_Kaluga_Oblast,5-19,146034
Russia_Kaluga_Oblast,20-49,449593
Russia_Kaluga_Oblast,50-64,226896
Russia_Kaluga_Oblast,65+,146055
Russia_Kamchatka_Krai,0-4,19465
Russia_Kamchatka_Krai,5-19,50121
Russia_Kamchatka_Krai,20-49,161698
Russia_Kamchatka_Krai,50-64,68894
Russia_Kamchatka_Krai,65+,25735
Russia_Karachay_Cherkessia,0-4,35829
Russia_Karachay_Cherkessia,5-19,95774
Russia_Karachay_Cherkessia,20-49,219796
Russia_Karachay_Cherkessia,50-64,84195
Russia_Karachay_Cherkessia,65+,47972
Russia_Karelia,0-4,37134
Russia_Karelia,5-19,94361
Russia_Karelia,20-49,295893
Russia_Karelia,50-64,145192
Russia_Karelia,65+,78662
Russia_Kemerovo_Oblast,0-4,181163
Russia_Kemerovo_Oblast,5-19,433810
Russia_Kemerovo_Oblast,20-49,1256903
Russia_Kemerovo_Oblast,50-64,603317
Russia_Kemerovo_Oblast,65+,321153
Russia_Khabarovsk_Krai,0-4,80997
Russia_Khabarovsk_Krai,5-19,206524
Russia_Khabarovsk_Krai,20-49,641753
Russia_Khabarovsk_Krai,50-64,286427
Russia_Khabarovsk_Krai,65+,144294
Russia_Khakassia,0-4,39022
Russia_Khakassia,5-19,87664
Russia_Khakassia,20-49,246201
Russia_Khakassia,50-64,111935
Russia_Khakassia,65+,53942
Russia_Khanty_Mansi_Autonomous_Okrug,0-4,115473
Russia_Khanty_Mansi_Autonomous_Okrug,5-19,282139
Russia_Khanty_Mansi_Autonomous_Okrug,20-49,801949
Russia_Khanty_Mansi_Autonomous_Okrug,50-64,289590
Russia_Khanty_Mansi_Autonomous_Okrug,65+,61488
Russia_Kirov_Oblast,0-4,76920
Russia_Kirov_Oblast,5-19,185876
Russia_Kirov_Oblast,20-49,591107
Russia_Kirov_Oblast,50-64,320917
Russia_Kirov_Oblast,65+,182588
Russia_Komi_Republic,0-4,57740
Russia_Komi_Republic,5-19,145515
Russia_Komi_Republic,20-49,434173
Russia_Komi_Republic,50-64,194290
Russia_Komi_Republic,65+,80274
Russia_Kostroma_Oblast,0-4,38574
Russia_Kostroma_Oblast,5-19,97011
Russia_Kostroma_Oblast,20-49,294549
Russia_Kostroma_Oblast,50-64,150754
Russia_Kostroma_Oblast,65+,94662
Russia_Krasnodar_Krai,0-4,318247
Russia_Krasnodar_Krai,5-19,857577
Russia_Krasnodar_Krai,20-49,2344644
Russia_Krasnodar_Krai,50-64,1074990
Russia_Krasnodar_Krai,65+,694038
Russia_Krasnoyarsk_Krai,0-4,179241
Russia_Krasnoyarsk_Krai,5-19,455078
Russia_Krasnoyarsk_Krai,20-49,1338959
Russia_Krasnoyarsk_Krai,50-64,588360
Russia_Krasnoyarsk_Krai,65+,300536
Russia_Kurgan_Oblast,0-4,55689
Russia_Kurgan_Oblast,5-19,136224
Russia_Kurgan_Oblast,20-49,396808
Russia_Kurgan_Oblast,50-64,206731
Russia_Kurgan_Oblast,65+,126274
Russia_Kursk_Oblast,0-4,60078
Russia_Kursk_Oblast,5-19,166735
Russia_Kursk_Oblast,20-49,495175
Russia_Kursk_Oblast,50-64,250321
Russia_Kursk_Oblast,65+,168293
Russia_Leningrad_Oblast,0-4,87939
Russia_Leningrad_Oblast,5-19,240772
Russia_Leningrad_Oblast,20-49,770860
Russia_Leningrad_Oblast,50-64,400970
Russia_Leningrad_Oblast,65+,236943
Russia_Lipetsk_Oblast,0-4,63821
Russia_Lipetsk_Oblast,5-19,176153
Russia_Lipetsk_Oblast,20-49,521296
Russia_Lipetsk_Oblast,50-64,256363
Russia_Lipetsk_Oblast,65+,169961
Russia_Magadan_Oblast,0-4,8790
Russia_Magadan_Oblast,5-19,24094
Russia_Magadan_Oblast,20-49,78147
Russia_Magadan_Oblast,50-64,37523
Russia_Magadan_Oblast,65+,10290
Russia_Mari_El,0-4,43981
Russia_Mari_El,5-19,112313
Russia_Mari_El,20-49,320945
Russia_Mari_El,50-64,152655
Russia_Mari_El,65+,74903
Russia_Mordovia,0-4,42774
Russia_Mordovia,5-19,129699
Russia_Mordovia,20-49,378521
Russia_Mordovia,50-64,183567
Russia_Mordovia,65+,110194
Russia_Moscow,0-4,568177
Russia_Moscow,5-19,1670851
Russia_Moscow,20-49,5464039
Russia_Moscow,50-64,2421122
Russia_Moscow,65+,1517694
Russia_Moscow_Oblast,0-4,387363
Russia_Moscow_Oblast,5-19,1045693
Russia_Moscow_Oblast,20-49,3277292
Russia_Moscow_Oblast,50-64,1517220
Russia_Moscow_Oblast,65+,952893
Russia_Murmansk_Oblast,0-4,45637
Russia_Murmansk_Oblast,5-19,118512
Russia_Murmansk_Oblast,20-49,392031
Russia_Murmansk_Oblast,50-64,175730
Russia_Murmansk_Oblast,65+,73022
Russia_Nenets_Autonomous_Okrug,0-4,3363
Russia_Nenets_Autonomous_Okrug,5-19,8057
Russia_Nenets_Autonomous_Okrug,20-49,20330
Russia_Nenets_Autonomous_Okrug,50-64,8083
Russia_Nenets_Autonomous_Okrug,65+,2725
Russia_Nizhny_Novgorod_Oblast,0-4,176132
Russia_Nizhny_Novgorod_Oblast,5-19,492675
Russia_Nizhny_Novgorod_Oblast,20-49,1485057
Russia_Nizhny_Novgorod_Oblast,50-64,728460
Russia_Nizhny_Novgorod_Oblast,65+,468067
Russia_North_Ossetia_Alania,0-4,49483
Russia_North_Ossetia_Alania,5-19,143881
Russia_North_Ossetia_Alania,20-49,317509
Russia_North_Ossetia_Alania,50-64,123594
Russia_North_Ossetia_Alania,65+,87055
Russia_Novgorod_Oblast,0-4,34805
Russia_Novgorod_Oblast,5-19,88582
Russia_Novgorod_Oblast,20-49,275015
Russia_Novgorod_Oblast,50-64,146637
Russia_Novgorod_Oblast,65+,96657
Russia_Novosibirsk_Oblast,0-4,161204
Russia_Novosibirsk_Oblast,5-19,398728
Russia_Novosibirsk_Oblast,20-49,1228573
Russia_Novosibirsk_Oblast,50-64,574610
Russia_Novosibirsk_Oblast,65+,334832
Russia_Omsk_Oblast,0-4,124574
Russia_Omsk_Oblast,5-19,314547
Russia_Omsk_Oblast,20-49,916290
Russia_Omsk_Oblast,50-64,416687
Russia_Omsk_Oblast,65+,229324
Russia_Orenburg_Oblast,0-4,132890
Russia_Orenburg_Oblast,5-19,333351
Russia_Orenburg_Oblast,20-49,931879
Russia_Orenburg_Oblast,50-64,415915
Russia_Orenburg_Oblast,65+,243459
Russia_Oryol_Oblast,0-4,42193
Russia_Oryol_Oblast,5-19,117409
Russia_Oryol_Oblast,20-49,345300
Russia_Oryol_Oblast,50-64,178497
Russia_Oryol_Oblast,65+,112963
Russia_Penza_Oblast,0-4,72220
Russia_Penza_Oblast,5-19,200981
Russia_Penza_Oblast,20-49,614227
Russia_Penza_Oblast,50-64,317804
Russia_Penza_Oblast,65+,197592
Russia_Perm_Krai,0-4,169613
Russia_Perm_Krai,5-19,433188
Russia_Perm_Krai,20-49,1196078
Russia_Perm_Krai,50-64,560463
Russia_Perm_Krai,65+,307603
Russia_Primorsky_Krai,0-4,112684
Russia_Primorsky_Krai,5-19,297834
Russia_Primorsky_Krai,20-49,916487
Russia_Primorsky_Krai,50-64,427777
Russia_Primorsky_Krai,65+,225217
Russia_Pskov_Oblast,0-4,34963
Russia_Pskov_Oblast,5-19,93606
Russia_Pskov_Oblast,20-49,292042
Russia_Pskov_Oblast,50-64,157304
Russia_Pskov_Oblast,65+,103566
Russia_Rostov_Oblast,0-4,240573
Russia_Rostov_Oblast,5-19,671209
Russia_Rostov_Oblast,20-49,1940933
Russia_Rostov_Oblast,50-64,899010
Russia_Rostov_Oblast,65+,577691
Russia_Ryazan_Oblast,0-4,26288
Russia_Ryazan_Oblast,5-19,73719
Russia_Ryazan_Oblast,20-49,226371
Russia_Ryazan_Oblast,50-64,119946
Russia_Ryazan_Oblast,65+,84875
Russia_Sakha,0-4,80480
Russia_Sakha,5-19,208637
Russia_Sakha,20-49,454772
Russia_Sakha,50-64,172024
Russia_Sakha,65+,54106
Russia_Sakhalin_Oblast,0-4,30218
Russia_Sakhalin_Oblast,5-19,75052
Russia_Sakhalin_Oblast,20-49,237965
Russia_Sakhalin_Oblast,50-64,116860
Russia_Sakhalin_Oblast,65+,43830
Russia_Samara_Oblast,0-4,174801
Russia_Samara_Oblast,5-19,481310
Russia_Samara_Oblast,20-49,1471737
Russia_Samara_Oblast,50-64,706211
Russia_Samara_Oblast,65+,420125
Russia_Saratov_Oblast,0-4,136219
Russia_Saratov_Oblast,5-19,381877
Russia_Saratov_Oblast,20-49,1139799
Russia_Saratov_Oblast,50-64,540862
Russia_Saratov_Oblast,65+,353439
Russia_Smolensk_Oblast,0-4,50186
Russia_Smolensk_Oblast,5-19,139019
Russia_Smolensk_Oblast,20-49,442649
Russia_Smolensk_Oblast,50-64,228069
Russia_Smolensk_Oblast,65+,137427
Russia_St._Petersburg,0-4,229572
Russia_St._Petersburg,5-19,670993
Russia_St._Petersburg,20-49,2246644
Russia_St._Petersburg,50-64,1090478
Russia_St._Petersburg,65+,700556
Russia_Stavropol_Krai,0-4,180767
Russia_Stavropol_Krai,5-19,487178
Russia_Stavropol_Krai,20-49,1263987
Russia_Stavropol_Krai,50-64,542688
Russia_Stavropol_Krai,65+,345147
Russia_Sverdlovsk_Oblast,0-4,266153
Russia_Sverdlovsk_Oblast,5-19,645224
Russia_Sverdlovsk_Oblast,20-49,1953967
Russia_Sverdlovsk_Oblast,50-64,935072
Russia_Sverdlovsk_Oblast,65+,549004
Russia_Tambov_Oblast,0-4,51346
Russia_Tambov_Oblast,5-19,160315
Russia_Tambov_Oblast,20-49,475902
